country,subnational1,subnational2,threshold,area_ha,extent_2000_ha,extent_2010_ha,gain_2000-2012_ha,tc_loss_ha_2001,tc_loss_ha_2002,tc_loss_ha_2003,tc_loss_ha_2004,tc_loss_ha_2005,tc_loss_ha_2006,tc_loss_ha_2007,tc_loss_ha_2008,tc_loss_ha_2009,tc_loss_ha_2010,tc_loss_ha_2011,tc_loss_ha_2012,tc_loss_ha_2013,tc_loss_ha_2014,tc_loss_ha_2015,tc_loss_ha_2016,tc_loss_ha_2017,tc_loss_ha_2018,tc_loss_ha_2019,tc_loss_ha_2020,tc_loss_ha_2021,tc_loss_ha_2022,tc_loss_ha_2023,tc_loss_ha_2024
Indonesia,Aceh,Aceh Barat,0,281208,281208,281208,8218,1649,718,402,1121,2504,1219,2125,4472,4367,2057,4200,4940,7527,6329,2552,3408,4644,2572,1674,1522,3174,2534,2888,4908
Indonesia,Aceh,Aceh Barat,10,281208,260915,256873,8218,1648,717,402,1115,2491,1217,2124,4469,4365,2056,4188,4783,6615,5975,2508,3301,4440,2482,1607,1426,3071,2425,2784,4739
Indonesia,Aceh,Aceh Barat,15,281208,259285,254395,8218,1647,717,402,1114,2489,1216,2123,4469,4364,2056,4185,4772,6579,5957,2502,3291,4420,2474,1601,1415,3059,2413,2771,4716
Indonesia,Aceh,Aceh Barat,20,281208,258300,253669,8218,1647,717,401,1113,2486,1216,2123,4469,4363,2056,4183,4763,6549,5938,2497,3282,4401,2466,1597,1407,3048,2405,2759,4695
Indonesia,Aceh,Aceh Barat,25,281208,257567,252293,8218,1647,717,401,1112,2485,1216,2123,4468,4362,2056,4182,4759,6532,5926,2494,3277,4388,2461,1594,1401,3042,2401,2753,4681
Indonesia,Aceh,Aceh Barat,30,281208,256149,250457,8218,1647,717,401,1112,2482,1215,2123,4468,4361,2056,4179,4748,6503,5904,2489,3266,4364,2450,1588,1389,3027,2389,2739,4656
Indonesia,Aceh,Aceh Barat,50,281208,249561,240629,8218,1645,715,400,1099,2446,1209,2118,4458,4333,2051,4157,4665,6309,5746,2460,3202,4218,2386,1551,1335,2951,2332,2678,4532
Indonesia,Aceh,Aceh Barat,75,281208,231203,219250,8218,1622,709,390,1037,2250,1169,2046,4336,4116,2009,4015,4245,5277,5057,2291,2925,3731,2137,1414,1190,2672,2063,2405,4037
Indonesia,Aceh,Aceh Barat Daya,0,189314,189314,189314,2994,708,562,2963,474,361,639,220,729,7364,1744,2426,1653,1151,1451,943,1139,1152,1029,885,827,1264,1138,1185,1293
Indonesia,Aceh,Aceh Barat Daya,10,189314,179294,175953,2994,708,562,2962,474,361,639,220,729,7362,1744,2425,1651,1145,1433,931,1110,1120,1011,871,800,1218,1104,1131,1261
