provinsi,kabupaten_kota,indikator,nilai,satuan,tanggal,sumber
Aceh,Aceh Utara,Korban Meninggal,166,orang,2025-12-18,Katadata Insight Center; BNPB
Aceh,Aceh Tamiang,Korban Meninggal,85,orang,2025-12-18,Katadata Insight Center; BNPB
Aceh,Aceh Timur,Korban Meninggal,53,orang,2025-12-18,Katadata Insight Center; BNPB
Aceh,Bireuen,Korban Meninggal,33,orang,2025-12-18,Katadata Insight Center; BNPB
Aceh,Bener Meriah,Korban Meninggal,30,orang,2025-12-18,Katadata Insight Center; BNPB
Aceh,Pidie Jaya,Korban Meninggal,29,orang,2025-12-18,Katadata Insight Center; BNPB
Aceh,Aceh Tengah,Korban Meninggal,24,orang,2025-12-18,Katadata Insight Center; BNPB
Aceh,Aceh Tenggara,Korban Meninggal,13,orang,2025-12-18,Katadata Insight Center; BNPB
Aceh,Gayo Lues,Korban Meninggal,5,orang,2025-12-18,Katadata Insight Center; BNPB
Aceh,Kota Langsa,Korban Meninggal,5,orang,2025-12-18,Katadata Insight Center; BNPB
Aceh,Kota Lhokseumawe,Korban Meninggal,4,orang,2025-12-18,Katadata Insight Center; BNPB
Sumatera Utara,Tapanuli Tengah,Korban Meninggal,131,orang,2025-12-18,Katadata Insight Center; BNPB
Sumatera Utara,Tapanuli Selatan,Korban Meninggal,86,orang,2025-12-18,Katadata Insight Center; BNPB
Sumatera Utara,Kota Sibolga,Korban Meninggal,54,orang,2025-12-18,Katadata Insight Center; BNPB
Sumatera Utara,Tapanuli Utara,Korban Meninggal,36,orang,2025-12-18,Katadata Insight Center; BNPB
Sumatera Utara,Deli Serdang,Korban Meninggal,17,orang,2025-12-18,Katadata Insight Center; BNPB
Sumatera Utara,Langkat,Korban Meninggal,13,orang,2025-12-18,Katadata Insight Center; BNPB
Sumatera Utara,Kota Medan,Korban Meninggal,12,orang,2025-12-18,Katadata Insight Center; BNPB
Sumatera Utara,Humbang Hasundutan,Korban Meninggal,10,orang,2025-12-18,Katadata Insight Center; BNPB
Sumatera Barat,Agam,Korban Meninggal,184,orang,2025-12-18,Katadata Insight Center; BNPB
Sumatera Barat,Padang Pariaman,Korban Meninggal,24,orang,2025-12-18,Katadata Insight Center; BNPB
Sumatera Barat,Kota Padang Panjang,Korban Meninggal,21,orang,2025-12-18,Katadata Insight Center; BNPB
Sumatera Barat,Kota Padang,Korban Meninggal,11,orang,2025-12-18,Katadata Insight Center; BNPB
Sumatera Barat,Pasaman Barat,Korban Meninggal,4,orang,2025-12-18,Katadata Insight Center; BNPB
