kabupaten,tahun,jumlah_penduduk_ribu,kepadatan_penduduk_km2
Simeulue,2019,81.1,40
Aceh Singkil,2019,103.2,47
Aceh Selatan,2019,203.2,53
Aceh Tenggara,2019,180,43
Aceh Timur,2019,363,58
Aceh Tengah,2019,176.5,41
Aceh Barat,2019,174.5,60
Aceh Besar,2019,353.7,119
Pidie,2019,381.4,124
Bireuen,2019,392.3,206
Aceh Utara,2019,534.1,165
Aceh Barat Daya,2019,126.7,85
Gayo Lues,2019,80,14
Aceh Tamiang,2019,253.5,130
Nagan Raya,2019,140.3,42
Aceh Jaya,2019,77.2,20
Bener Meriah,2019,123,85
Pidie Jaya,2019,133.9,125
Kota Banda Aceh,2019,225.1,3669
Kota Sabang,2019,30.9,202
Kota Langsa,2019,149.6,570
Kota Lhokseumawe,2019,171.9,950
Kota Subulussalam,2019,68,49
Simeulue,2020,92.9,45
Aceh Singkil,2020,126.5,58
Aceh Selatan,2020,232.4,61
Aceh Tenggara,2020,220.9,52
Aceh Timur,2020,422.4,67
Aceh Tengah,2020,215.6,50
Aceh Barat,2020,198.7,68
Aceh Besar,2020,405.5,137
Pidie,2020,435.3,141
Bireuen,2020,436.4,230
Aceh Utara,2020,602.8,186
Aceh Barat Daya,2020,150.8,101
Gayo Lues,2020,99.5,17
Aceh Tamiang,2020,294.4,150
Nagan Raya,2020,168.4,50
Aceh Jaya,2020,93.2,24
Bener Meriah,2020,161.3,111
Pidie Jaya,2020,158.4,148
Kota Banda Aceh,2020,252.9,4122
Kota Sabang,2020,41.2,269
Kota Langsa,2020,186,709
Kota Lhokseumawe,2020,188.7,1042
Kota Subulussalam,2020,90.8,65
Simeulue,2021,93.8,46
Aceh Singkil,2021,128.4,59
Aceh Selatan,2021,234.6,61
Aceh Tenggara,2021,224.1,53
Aceh Timur,2021,427,68
Aceh Tengah,2021,218.7,51
Aceh Barat,2021,200.6,69
Aceh Besar,2021,409.5,138
Pidie,2021,439.4,142
Bireuen,2021,439.8,231
Aceh Utara,2021,608.1,188
Aceh Barat Daya,2021,152.7,102
Gayo Lues,2021,101.1,18
Aceh Tamiang,2021,297.5,152
Nagan Raya,2021,170.6,51
Aceh Jaya,2021,94.4,25
Bener Meriah,2021,164.5,113
Pidie Jaya,2021,160.3,149
Kota Banda Aceh,2021,255,4156
Kota Sabang,2021,42.1,275
Kota Langsa,2021,188.9,720
Kota Lhokseumawe,2021,189.9,1049
Kota Subulussalam,2021,92.7,67
Simeulue,2022,94.9,46
Aceh Singkil,2022,130.8,60
Aceh Selatan,2022,237.4,62
Aceh Tenggara,2022,228.3,54
Aceh Timur,2022,432.8,69
Aceh Tengah,2022,222.7,52
Aceh Barat,2022,202.9,69
Aceh Besar,2022,414.5,140
Pidie,2022,444.5,144
Bireuen,2022,443.9,233
Aceh Utara,2022,614.6,190
Aceh Barat Daya,2022,155,104
Gayo Lues,2022,103.1,18
Aceh Tamiang,2022,301.5,154
Nagan Raya,2022,173.4,52
Aceh Jaya,2022,96,25
Bener Meriah,2022,168.7,116
Pidie Jaya,2022,162.8,152
Kota Banda Aceh,2022,257.6,4199
Kota Sabang,2022,43.2,282
Kota Langsa,2022,192.6,734
Kota Lhokseumawe,2022,191.4,1057
Kota Subulussalam,2022,95.2,68
Simeulue,2023,97.1,47
Aceh Singkil,2023,133.3,61
Aceh Selatan,2023,239.5,62
Aceh Tenggara,2023,230.9,55
Aceh Timur,2023,438.1,70
Aceh Tengah,2023,223.8,52
Aceh Barat,2023,204.8,70
Aceh Besar,2023,422.4,142
Pidie,2023,448.1,145
Bireuen,2023,453.2,238
Aceh Utara,2023,624.9,193
Aceh Barat Daya,2023,157,105
Gayo Lues,2023,104.9,18
Aceh Tamiang,2023,305.2,156
Nagan Raya,2023,174.3,52
Aceh Jaya,2023,97.6,26
Bener Meriah,2023,169.2,116
Pidie Jaya,2023,164.4,153
Kota Banda Aceh,2023,262,4269
Kota Sabang,2023,42.9,280
Kota Langsa,2023,194.7,742
Kota Lhokseumawe,2023,197.4,1090
Kota Subulussalam,2023,96.9,70
Simeulue,2024,98.6,48
Aceh Singkil,2024,135.7,62
Aceh Selatan,2024,242,63
Aceh Tenggara,2024,234.4,55
Aceh Timur,2024,443.6,71
Aceh Tengah,2024,226.7,53
Aceh Barat,2024,206.8,71
Aceh Besar,2024,428.3,144
Pidie,2024,452.5,147
Bireuen,2024,459.1,241
Aceh Utara,2024,632,195
Aceh Barat Daya,2024,159.2,107
Gayo Lues,2024,106.8,19
Aceh Tamiang,2024,309,158
Nagan Raya,2024,176.4,52
Aceh Jaya,2024,99.2,26
Bener Meriah,2024,172,118
Pidie Jaya,2024,166.5,155
Kota Banda Aceh,2024,265,4319
Kota Sabang,2024,43.5,284
Kota Langsa,2024,198,754
Kota Lhokseumawe,2024,200.4,1107
Kota Subulussalam,2024,99.1,71
